post_url,author,description,title
https://dogtime.com/puppies/43593-beagle-puppies,Maggie Clancey,"Most Beagles aren't fighter pilots like Snoopy, but they do have a sense of adventure! Feel like you want to bring a Beagle puppy into your life? Here are a few things to consider.",Beagle Puppies
https://dogtime.com/puppies/44189-maltese-puppies,Maggie Clancey,"Maltese puppies are tiny, soft, adorable, and some of the best companions. If you are thinking about a new addition to the family, read up on some Maltese facts.",Maltese Puppies
https://dogtime.com/puppies/42821-english-bulldog-puppies,Michael Leaverton,English Bulldogs are unbearably cute -- especially with all those wrinkles!,English Bulldog Puppies
https://dogtime.com/trending/40095-newborn-puppy-rescued-hot-car-heat-index-108,Dogtime,"Soon actions like this could be a crime in parts of the United States, and let's hope that it will be a crime nation wide in the future as well.",Newborn Puppy Rescued From Hot Car: Heat Index 108
https://dogtime.com/puppies/1130-puppy-behavior-basics-hsus,Dogtime,Puppies that are well-socialized are more likely to come from dogs that are well-socialized.,Stages Of Puppy Development
https://dogtime.com/puppies/1155-feeding-puppy-aspca,Dogtime,Feeding puppies is different than feeding dogs. Give your puppy a great start in life by feeding your baby the right amounts of the right kinds of food.,Puppy Feeding Tips
https://dogtime.com/trending/34531-desperate-puppy-mill-mom-hides-puppies-wall,Dogtime,"The mama Beagle had delivered her puppies as far away as possible. Sadly, it wasn't very far and wasn't any better.",Desperate Puppy Mill Mom Hides Puppies In Wall
https://dogtime.com/puppies/44309-boxer-puppies,Maggie Clancey,Animated. Playful. Energetic. A little cuckoo in the best way. These are a few ways that Boxer parents will describe their pups. Do you think a Boxer puppy is right for you? Brush up on your Boxer puppy facts first.,Boxer Puppies
https://dogtime.com/puppies/21702-30-impossibly-cute-puppies,Dogtime,You want the cute? You want the cute? You can't handle the cute! These puppies are so cute they may cause you to squee for joy and make other silly & embarrassing sounds.,30 Impossibly Cute Puppies
https://dogtime.com/puppies/27085-37-grumpy-puppies-who-have-had-enough-and-arent-gonna-take-it-anymore-picture-gallery,Bonnie Brae,The only thing cuter than a puppy is a grumpy puppy. Here are some cute pictures of puppies that were caught in a grumpy mood. Do you have a grumpy puppy?,37 Grumpy Puppies Who Have Had Enough And Aren’t Gonna Take It Anymore
https://dogtime.com/trending/29231-golden-retriever-puppies-attack-cuteness,Mike Clark,These Golden Retriever puppies love to attack with love and kisses. Prepare for a cuteness overload!,When Golden Retriever Puppies Attack… With Cuteness
https://dogtime.com/puppies/35689-20-pictures-adorable-puppies-puppies,Dogtime,The first three to four months of a dog's life are the most important. That's when they get to be puppies!,20 Adorable Pictures Of Puppies Being Puppies
http://www.vetstreet.com/our-pet-experts/why-does-my-dog-dig-in-the-carpet,Wailani Sung,What is it about carpet that seems to incite some dogs to want to ‘dig to China’? Do you cringe when you hear the telltale scrape of canine toenails furiously trying to scratch their way through your,Why Does My Dog… Dig in the Carpet?
http://www.vetstreet.com/our-pet-experts/how-to-keep-your-dog-happy-on-crate-rest,Kristen Seymour,"If you were told you needed to be on bed rest for the next few weeks to allow an injury to properly heal, you probably wouldn't be thrilled, but you'd understand the reason for it — and, most likely,",How to Keep Your Dog Happy on Crate Rest
http://www.vetstreet.com/dr-marty-becker/why-doesnt-my-dog-want-to-go-for-a-walk,Marty Becker,Walks are why many of us get a dog. A dog lover almost always has a friend ready to go for a walk to jump-start the day or wind down after work. When our best walking buddies don’t want to go along,Why Doesnt My Dog Want To Go For A Walk
